year,sector,data_category,data_type,data_value,unit,data_source,area
1991,Agriculture,Fertilizer,UREA,24812.93716168934,Unspecified,,Mainland
1991,Agriculture,Fertilizer,DAP,2361.4804681919295,Unspecified,,Mainland
1991,Agriculture,Fertilizer,NPK,15704.231607824644,Unspecified,,Mainland
1991,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1991,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1991,Agriculture,Fertilizer,SA,17407.70544801383,Unspecified,,Mainland
1992,Agriculture,Fertilizer,CAN,20493.54027864015,Unspecified,,Mainland
1992,Agriculture,Fertilizer,UREA,25098.655464213065,Unspecified,,Mainland
1992,Agriculture,Fertilizer,DAP,2388.6726617810255,Unspecified,,Mainland
1992,Agriculture,Fertilizer,NPK,15885.064145632981,Unspecified,,Mainland
1992,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1992,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1992,Agriculture,Fertilizer,SA,17608.153303865365,Unspecified,,Mainland
1993,Agriculture,Fertilizer,CAN,20732.270139320073,Unspecified,,Mainland
1993,Agriculture,Fertilizer,UREA,25387.663782258333,Unspecified,,Mainland
1993,Agriculture,Fertilizer,DAP,2416.1779705544927,Unspecified,,Mainland
1993,Agriculture,Fertilizer,NPK,16067.978950663735,Unspecified,,Mainland
1993,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1993,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1993,Agriculture,Fertilizer,SA,17810.90929521675,Unspecified,,Mainland
1994,Agriculture,Fertilizer,CAN,20971,Unspecified,,Mainland
1994,Agriculture,Fertilizer,UREA,25680,Unspecified,,Mainland
1994,Agriculture,Fertilizer,DAP,2444,Unspecified,,Mainland
1994,Agriculture,Fertilizer,NPK,16253,Unspecified,,Mainland
1994,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1994,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1994,Agriculture,Fertilizer,SA,18016,Unspecified,,Mainland
1995,Agriculture,Fertilizer,CAN,10058,Unspecified,,Mainland
1995,Agriculture,Fertilizer,UREA,35327,Unspecified,,Mainland
1995,Agriculture,Fertilizer,DAP,4058,Unspecified,,Mainland
1995,Agriculture,Fertilizer,NPK,23607,Unspecified,,Mainland
1995,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1995,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1995,Agriculture,Fertilizer,SA,31923,Unspecified,,Mainland
1996,Agriculture,Fertilizer,CAN,14779,Unspecified,,Mainland
1996,Agriculture,Fertilizer,UREA,21140,Unspecified,,Mainland
1996,Agriculture,Fertilizer,DAP,2594,Unspecified,,Mainland
1996,Agriculture,Fertilizer,NPK,21626,Unspecified,,Mainland
1996,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1996,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1996,Agriculture,Fertilizer,SA,20524,Unspecified,,Mainland
1997,Agriculture,Fertilizer,CAN,9892,Unspecified,,Mainland
1997,Agriculture,Fertilizer,UREA,28756,Unspecified,,Mainland
1997,Agriculture,Fertilizer,DAP,3441,Unspecified,,Mainland
1997,Agriculture,Fertilizer,NPK,36757,Unspecified,,Mainland
1997,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1997,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1997,Agriculture,Fertilizer,SA,22431,Unspecified,,Mainland
1998,Agriculture,Fertilizer,CAN,9134,Unspecified,,Mainland
1998,Agriculture,Fertilizer,UREA,14758,Unspecified,,Mainland
1998,Agriculture,Fertilizer,DAP,3949,Unspecified,,Mainland
1998,Agriculture,Fertilizer,NPK,14861,Unspecified,,Mainland
1998,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1998,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1998,Agriculture,Fertilizer,SA,15369,Unspecified,,Mainland
1999,Agriculture,Fertilizer,CAN,15460,Unspecified,,Mainland
1999,Agriculture,Fertilizer,UREA,18390,Unspecified,,Mainland
1999,Agriculture,Fertilizer,DAP,4035,Unspecified,,Mainland
1999,Agriculture,Fertilizer,NPK,14514,Unspecified,,Mainland
1999,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
1999,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
1999,Agriculture,Fertilizer,SA,11040,Unspecified,,Mainland
2000,Agriculture,Fertilizer,CAN,8149,Unspecified,,Mainland
2000,Agriculture,Fertilizer,UREA,27293,Unspecified,,Mainland
2000,Agriculture,Fertilizer,DAP,3576,Unspecified,,Mainland
2000,Agriculture,Fertilizer,NPK,14823,Unspecified,,Mainland
2000,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
2000,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
2000,Agriculture,Fertilizer,SA,11905,Unspecified,,Mainland
2001,Agriculture,Fertilizer,CAN,16455,Unspecified,,Mainland
2001,Agriculture,Fertilizer,UREA,30379,Unspecified,,Mainland
2001,Agriculture,Fertilizer,DAP,8242,Unspecified,,Mainland
2001,Agriculture,Fertilizer,NPK,7007,Unspecified,,Mainland
