year,sector,data_category,data_type,data_value,unit,data_source,area
1995,IPPU,Lubricants,unspecified,5995.909518872084,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
1996,IPPU,Lubricants,unspecified,6254.353342389057,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
1997,IPPU,Lubricants,unspecified,8541.907919111178,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
1998,IPPU,Lubricants,unspecified,7560.474866940501,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
1999,IPPU,Lubricants,unspecified,6578.977748378273,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2000,IPPU,Lubricants,unspecified,6900.52696757304,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2001,IPPU,Lubricants,unspecified,9618.15923077742,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2002,IPPU,Lubricants,unspecified,8161.609818864089,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2003,IPPU,Lubricants,unspecified,8798.814149230924,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2004,IPPU,Lubricants,unspecified,9740.782304206148,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2005,IPPU,Lubricants,unspecified,9289.626774903589,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2006,IPPU,Lubricants,unspecified,7978.572138202712,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2007,IPPU,Lubricants,unspecified,8648.962859392996,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2008,IPPU,Lubricants,unspecified,13786.318665089331,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2009,IPPU,Lubricants,unspecified,16578.524208059145,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2010,IPPU,Lubricants,unspecified,23930.462970500947,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2011,IPPU,Lubricants,unspecified,34032.70785583817,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (petrol data was used as surrogate data),Mainland
2012,IPPU,Lubricants,unspecified,35102.16813,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,Lubricants,unspecified,903573.6439700001,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,Lubricants,unspecified,34883.222820099945,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,Lubricants,unspecified,42241.85197180001,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,Lubricants,unspecified,25822.452415599986,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,Lubricants,unspecified,18882.98071979999,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,Lubricants,unspecified,18749.52464600004,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,Lubricants,unspecified,16675.70482569997,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,Lubricants,unspecified,18652.549880300012,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,Lubricants,unspecified,19556.217948000052,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,Paraffin wax,unspecified,2473.162583518931,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,Paraffin wax,unspecified,2539.9379732739417,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,Paraffin wax,unspecified,2608.516298552338,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,Paraffin wax,unspecified,2678.946238613251,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,Paraffin wax,unspecified,2751.2777870558084,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,Paraffin wax,unspecified,2825.562287306315,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,Paraffin wax,unspecified,2901.852469063585,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,Paraffin wax,unspecified,2980.2024857283013,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,Paraffin wax,unspecified,3060.6679528429654,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,Paraffin wax,unspecified,3143.305987569725,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,Paraffin wax,unspecified,3228.1752492341075,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,Paraffin wax,unspecified,3315.335980963428,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,Paraffin wax,unspecified,3404.8500524494402,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,Paraffin wax,unspecified,3496.7810038655753,Tonne,Gap filling by using population growth rates,Mainland
2004,IPPU,Paraffin wax,unspecified,3591.1940909699456,Tonne,Gap filling by using population growth rates,Mainland
2005,IPPU,Paraffin wax,unspecified,3688.1563314261334,Tonne,Gap filling by using population growth rates,Mainland
2006,IPPU,Paraffin wax,unspecified,3787.736552374639,Tonne,Gap filling by using population growth rates,Mainland
2007,IPPU,Paraffin wax,unspecified,3890.0054392887537,Tonne,Gap filling by using population growth rates,Mainland
2008,IPPU,Paraffin wax,unspecified,3995.0355861495495,Tonne,Gap filling by using population growth rates,Mainland
2009,IPPU,Paraffin wax,unspecified,4102.901546975588,Tonne,Gap filling by using population growth rates,Mainland
2010,IPPU,Paraffin wax,unspecified,4213.679888743927,Tonne,Gap filling by using population growth rates,Mainland
2011,IPPU,Paraffin wax,unspecified,4327.449245740013,Tonne,Gap filling by using population growth rates,Mainland
2012,IPPU,Paraffin wax,unspecified,4038,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,Paraffin wax,unspecified,4012.52,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,Paraffin wax,unspecified,4354.09,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,Paraffin wax,unspecified,4937.38,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,Paraffin wax,unspecified,6613.08,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,Paraffin wax,unspecified,5049.42,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,Paraffin wax,unspecified,2889.61,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,Paraffin wax,unspecified,3637.23,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,Paraffin wax,unspecified,6783.01,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,Paraffin wax,unspecified,6621.48,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,Clinker production,unspecified,289482.26774803386,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1991,IPPU,Clinker production,unspecified,297298.2889772307,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1992,IPPU,Clinker production,unspecified,305325.342779616,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1993,IPPU,Clinker production,unspecified,313569.12703466555,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1994,IPPU,Clinker production,unspecified,318430.49,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1995,IPPU,Clinker production,unspecified,318430.49,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1996,IPPU,Clinker production,unspecified,343032.27,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1997,IPPU,Clinker production,unspecified,336997.87,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1998,IPPU,Clinker production,unspecified,288258.51,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
1999,IPPU,Clinker production,unspecified,361135.46,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2000,IPPU,Clinker production,unspecified,386665.6,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2001,IPPU,Clinker production,unspecified,386708.31,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2002,IPPU,Clinker production,unspecified,417965.55,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2003,IPPU,Clinker production,unspecified,476291.25,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2004,IPPU,Clinker production,unspecified,476291.25,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2005,IPPU,Clinker production,unspecified,594551.05,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2006,IPPU,Clinker production,unspecified,634091.66,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2007,IPPU,Clinker production,unspecified,659819.55,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2008,IPPU,Clinker production,unspecified,756569.5,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2009,IPPU,Clinker production,unspecified,815043.74,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2010,IPPU,Clinker production,unspecified,900909.96,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2011,IPPU,Clinker production,unspecified,1073219.85,Tonne,Gap filling (IPCC splicing technique) by using surrogate method (cement data was used as surrogate data),Mainland
2012,IPPU,Clinker production,unspecified,469609.75,Tonne,National Bureau of Statistics (NBS reports),Mainland
2013,IPPU,Clinker production,unspecified,430018.75,Tonne,National Bureau of Statistics (NBS reports),Mainland
2014,IPPU,Clinker production,unspecified,1327396.02,Tonne,National Bureau of Statistics (NBS reports),Mainland
2015,IPPU,Clinker production,unspecified,1040016.9,Tonne,National Bureau of Statistics (NBS reports),Mainland
2016,IPPU,Clinker production,unspecified,689992.86,Tonne,National Bureau of Statistics (NBS reports),Mainland
2017,IPPU,Clinker production,unspecified,207558.04,Tonne,National Bureau of Statistics (NBS reports),Mainland
2018,IPPU,Clinker production,unspecified,368730.63,Tonne,National Bureau of Statistics (NBS reports),Mainland
2019,IPPU,Clinker production,unspecified,2455943,Tonne,National Bureau of Statistics (NBS reports),Mainland
2020,IPPU,Clinker production,unspecified,2517609,Tonne,National Bureau of Statistics (NBS reports),Mainland
2021,IPPU,Clinker production,unspecified,3957616,Tonne,National Bureau of Statistics (NBS reports),Mainland
1990,IPPU,Solvents,unspecified,1095.4044870399491,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,Solvents,unspecified,1124.9804081900274,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,Solvents,unspecified,1155.3548792111583,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,Solvents,unspecified,1186.5494609498594,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,Solvents,unspecified,1218.5862963955053,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,Solvents,unspecified,1251.488126398184,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,Solvents,unspecified,1285.2783058109349,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,Solvents,unspecified,1319.9808200678299,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,Solvents,unspecified,1355.6203022096613,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,Solvents,unspecified,1392.2220503693218,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,Solvents,unspecified,1429.8120457292935,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,Solvents,unspecified,1468.416970963984,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,Solvents,unspecified,1508.0642291800118,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,Solvents,unspecified,1548.781963367872,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,Solvents,unspecified,1590.5990763788047,Tonne,Gap filling by using population growth rates,Mainland
2005,IPPU,Solvents,unspecified,1633.5452514410317,Tonne,Gap filling by using population growth rates,Mainland
2006,IPPU,Solvents,unspecified,1677.6509732299396,Tonne,Gap filling by using population growth rates,Mainland
2007,IPPU,Solvents,unspecified,1722.9475495071479,Tonne,Gap filling by using population growth rates,Mainland
2008,IPPU,Solvents,unspecified,1769.4671333438407,Tonne,Gap filling by using population growth rates,Mainland
2009,IPPU,Solvents,unspecified,1817.2427459441244,Tonne,Gap filling by using population growth rates,Mainland
2010,IPPU,Solvents,unspecified,1866.3083000846152,Tonne,Gap filling by using population growth rates,Mainland
2011,IPPU,Solvents,unspecified,1916.6986241868997,Tonne,Gap filling by using population growth rates,Mainland
2012,IPPU,Solvents,unspecified,10406.33,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,Solvents,unspecified,8485.31,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,Solvents,unspecified,2250.16,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,Solvents,unspecified,952.6,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,Solvents,unspecified,1568.45,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,Solvents,unspecified,1831.35,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,Solvents,unspecified,1751.83,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,Solvents,unspecified,1594.26,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,Solvents,unspecified,1903.04,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,Solvents,unspecified,1591.67,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,Refrigerants,unspecified,1544.0668151447662,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,Refrigerants,unspecified,1585.7566191536746,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,Refrigerants,unspecified,1628.5720478708238,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,Refrigerants,unspecified,1672.5434931633358,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,Refrigerants,unspecified,1717.7021674787457,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,Refrigerants,unspecified,1764.0801260006715,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,Refrigerants,unspecified,1811.7102894026893,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,Refrigerants,unspecified,1860.6264672165619,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,Refrigerants,unspecified,1910.863381831409,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,Refrigerants,unspecified,1962.4566931408567,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,Refrigerants,unspecified,2015.44302385566,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,Refrigerants,unspecified,2069.8599854997624,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,Refrigerants,unspecified,2125.7462051082557,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,Refrigerants,unspecified,2183.141352646179,Tonne,Gap filling by using population growth rates,Mainland
2004,IPPU,Refrigerants,unspecified,2242.0861691676255,Tonne,Gap filling by using population growth rates,Mainland
2005,IPPU,Refrigerants,unspecified,2302.622495735151,Tonne,Gap filling by using population growth rates,Mainland
2006,IPPU,Refrigerants,unspecified,2364.7933031199996,Tonne,Gap filling by using population growth rates,Mainland
2007,IPPU,Refrigerants,unspecified,2428.6427223042397,Tonne,Gap filling by using population growth rates,Mainland
2008,IPPU,Refrigerants,unspecified,2494.216075806454,Tonne,Gap filling by using population growth rates,Mainland
2009,IPPU,Refrigerants,unspecified,2561.559909853228,Tonne,Gap filling by using population growth rates,Mainland
2010,IPPU,Refrigerants,unspecified,2630.722027419264,Tonne,Gap filling by using population growth rates,Mainland
2011,IPPU,Refrigerants,unspecified,2701.7515221595845,Tonne,Gap filling by using population growth rates,Mainland
2012,IPPU,Refrigerants,unspecified,2521.04,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,Refrigerants,unspecified,2063.35,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,Refrigerants,unspecified,4301.75,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,Refrigerants,unspecified,3075.76,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,Refrigerants,unspecified,3167.88,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,Refrigerants,unspecified,3096.47,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,Refrigerants,unspecified,3354.52,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,Refrigerants,unspecified,3578.37,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,Refrigerants,unspecified,3797.53,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,Refrigerants,unspecified,3243.9,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,FOAM BLOWING AGENTS,unspecified,137.95935412026725,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,FOAM BLOWING AGENTS,unspecified,141.68425668151446,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,FOAM BLOWING AGENTS,unspecified,145.50973161191536,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,FOAM BLOWING AGENTS,unspecified,149.43849436543704,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,FOAM BLOWING AGENTS,unspecified,153.47333371330382,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,FOAM BLOWING AGENTS,unspecified,157.617113723563,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,FOAM BLOWING AGENTS,unspecified,161.87277579409917,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,FOAM BLOWING AGENTS,unspecified,166.24334074053985,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,FOAM BLOWING AGENTS,unspecified,170.73191094053442,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,FOAM BLOWING AGENTS,unspecified,175.3416725359288,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,FOAM BLOWING AGENTS,unspecified,180.0758976943989,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,FOAM BLOWING AGENTS,unspecified,184.93794693214764,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,FOAM BLOWING AGENTS,unspecified,189.9312714993156,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,FOAM BLOWING AGENTS,unspecified,195.05941582979713,Tonne,Gap filling by using population growth rates,Mainland
2004,IPPU,FOAM BLOWING AGENTS,unspecified,200.32602005720165,Tonne,Gap filling by using population growth rates,Mainland
2005,IPPU,FOAM BLOWING AGENTS,unspecified,205.73482259874606,Tonne,Gap filling by using population growth rates,Mainland
2006,IPPU,FOAM BLOWING AGENTS,unspecified,211.28966280891217,Tonne,Gap filling by using population growth rates,Mainland
2007,IPPU,FOAM BLOWING AGENTS,unspecified,216.99448370475278,Tonne,Gap filling by using population growth rates,Mainland
2008,IPPU,FOAM BLOWING AGENTS,unspecified,222.8533347647811,Tonne,Gap filling by using population growth rates,Mainland
2009,IPPU,FOAM BLOWING AGENTS,unspecified,228.8703748034302,Tonne,Gap filling by using population growth rates,Mainland
2010,IPPU,FOAM BLOWING AGENTS,unspecified,235.04987492312273,Tonne,Gap filling by using population growth rates,Mainland
2011,IPPU,FOAM BLOWING AGENTS,unspecified,241.39622154604703,Tonne,Gap filling by using population growth rates,Mainland
2012,IPPU,FOAM BLOWING AGENTS,unspecified,225.254,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,FOAM BLOWING AGENTS,unspecified,148.45801999999998,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,FOAM BLOWING AGENTS,unspecified,275.60985,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,FOAM BLOWING AGENTS,unspecified,214.8376,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,FOAM BLOWING AGENTS,unspecified,234.01733,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,FOAM BLOWING AGENTS,unspecified,14.562790000000001,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,FOAM BLOWING AGENTS,unspecified,55.7876985,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,FOAM BLOWING AGENTS,unspecified,95.2237,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,FOAM BLOWING AGENTS,unspecified,102.989166,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,FOAM BLOWING AGENTS,unspecified,97.809838,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,FIRE PROTECTION GAS,unspecified,5357.685968819599,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,FIRE PROTECTION GAS,unspecified,5502.343489977727,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,FIRE PROTECTION GAS,unspecified,5650.906764207126,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,FIRE PROTECTION GAS,unspecified,5803.481246840717,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,FIRE PROTECTION GAS,unspecified,5960.175240505416,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,FIRE PROTECTION GAS,unspecified,6121.099971999061,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,FIRE PROTECTION GAS,unspecified,6286.369671243036,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,FIRE PROTECTION GAS,unspecified,6456.101652366597,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,FIRE PROTECTION GAS,unspecified,6630.416396980495,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,FIRE PROTECTION GAS,unspecified,6809.437639698966,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,FIRE PROTECTION GAS,unspecified,6993.292455970839,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,FIRE PROTECTION GAS,unspecified,7182.111352282051,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,FIRE PROTECTION GAS,unspecified,7376.028358793666,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,FIRE PROTECTION GAS,unspecified,7575.181124481094,Tonne,Gap filling by using population growth rates,Mainland
2004,IPPU,FIRE PROTECTION GAS,unspecified,7779.711014842083,Tonne,Gap filling by using population growth rates,Mainland
2005,IPPU,FIRE PROTECTION GAS,unspecified,7989.763212242818,Tonne,Gap filling by using population growth rates,Mainland
2006,IPPU,FIRE PROTECTION GAS,unspecified,8205.486818973373,Tonne,Gap filling by using population growth rates,Mainland
2007,IPPU,FIRE PROTECTION GAS,unspecified,8427.034963085654,Tonne,Gap filling by using population growth rates,Mainland
2008,IPPU,FIRE PROTECTION GAS,unspecified,8654.564907088967,Tonne,Gap filling by using population growth rates,Mainland
2009,IPPU,FIRE PROTECTION GAS,unspecified,8888.238159580367,Tonne,Gap filling by using population growth rates,Mainland
2010,IPPU,FIRE PROTECTION GAS,unspecified,9128.220589889035,Tonne,Gap filling by using population growth rates,Mainland
2011,IPPU,FIRE PROTECTION GAS,unspecified,9374.682545816038,Tonne,Gap filling by using population growth rates,Mainland
2012,IPPU,FIRE PROTECTION GAS,unspecified,8747.64,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2013,IPPU,FIRE PROTECTION GAS,unspecified,5726.84,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2014,IPPU,FIRE PROTECTION GAS,unspecified,2533.42,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2015,IPPU,FIRE PROTECTION GAS,unspecified,3571.91,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2016,IPPU,FIRE PROTECTION GAS,unspecified,3927.042,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2017,IPPU,FIRE PROTECTION GAS,unspecified,3371.167,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2018,IPPU,FIRE PROTECTION GAS,unspecified,2745.939,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2019,IPPU,FIRE PROTECTION GAS,unspecified,6530.631,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2020,IPPU,FIRE PROTECTION GAS,unspecified,7701.595,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
2021,IPPU,FIRE PROTECTION GAS,unspecified,13967.15,Tonne,Tanzania Revenue Authority (TRA) - Data mining and analysis section,Mainland
1990,IPPU,AEROSOLS,unspecified,240.7862068965517,Tonne,Gap filling by using population growth rates,Mainland
1991,IPPU,AEROSOLS,unspecified,247.28743448275858,Tonne,Gap filling by using population growth rates,Mainland
1992,IPPU,AEROSOLS,unspecified,253.96419521379303,Tonne,Gap filling by using population growth rates,Mainland
1993,IPPU,AEROSOLS,unspecified,260.82122848456544,Tonne,Gap filling by using population growth rates,Mainland
1994,IPPU,AEROSOLS,unspecified,267.8634016536486,Tonne,Gap filling by using population growth rates,Mainland
1995,IPPU,AEROSOLS,unspecified,275.09571349829713,Tonne,Gap filling by using population growth rates,Mainland
1996,IPPU,AEROSOLS,unspecified,282.5232977627511,Tonne,Gap filling by using population growth rates,Mainland
1997,IPPU,AEROSOLS,unspecified,290.1514268023453,Tonne,Gap filling by using population growth rates,Mainland
1998,IPPU,AEROSOLS,unspecified,297.9855153260087,Tonne,Gap filling by using population growth rates,Mainland
1999,IPPU,AEROSOLS,unspecified,306.0311242398109,Tonne,Gap filling by using population growth rates,Mainland
2000,IPPU,AEROSOLS,unspecified,314.2939645942858,Tonne,Gap filling by using population growth rates,Mainland
2001,IPPU,AEROSOLS,unspecified,322.77990163833147,Tonne,Gap filling by using population growth rates,Mainland
2002,IPPU,AEROSOLS,unspecified,331.4949589825664,Tonne,Gap filling by using population growth rates,Mainland
2003,IPPU,AEROSOLS,unspecified,340.44532287509566,Tonne,Gap filling by using population growth rates,Mainland
